ID,X,Y,AANTAL,HOOFDSOORT,ANT_IDS,TWEEG,DRIEG,VIERG,VIJFG,MOBIELE_COMMUNICATIE,OMROEP,OVERIGMOBIEL,VASTE_VERB,ZENDAMATEURS,GEMEENTE,POSTCODE,WOONPLAATSNAAM,SMALL_CELL_INDICATOR
10829,143524,411770,1.0,ZENDAMATEURS,1312198408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Heusden,5251AC,VLIJMEN,
10831,117790,495400,3.0,"LTE, 5G NR, GSM","4093900587, 1251172446, 7505327290",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Zaanstad,1503AR,ZAANDAM,
10831,117790,495400,3.0,"GSM, LTE, 5G NR","5160588943, 7226553699, 9891663330",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Zaanstad,1503AR,Zaandam,
10832,198195,495510,3.0,"GSM, LTE, 5G NR","5540603319, 5668074514, 9380843508",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Oldebroek,8091AG,Wapenveld,
10833,264075,496547,3.0,"GSM, LTE, 5G NR","7676073289, 8022370095, 5842932804",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Dinkelland,7635LL,Lattrop-Breklenkamp,
10834,104428,495621,3.0,"GSM, LTE, 5G NR","4438668940, 4077721159, 6264994802",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Velsen,1985CV,Driehuis,
10835,201363,457959,1.0,ZENDAMATEURS,1312395532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Brummen,6961JA,EERBEEK,
10836,158250,495570,3.0,"GSM, LTE, 5G NR","9784097290, 5496104161, 622774254",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Lelystad,8218PW,Lelystad,
10837,186900,495850,3.0,"GSM, 5G NR, LTE","2330651648, 2000740204, 4818183997",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Elburg,8081RV,Oostendorp,
10838,195104,495988,2.0,"GSM, LTE","2449887112, 604232649",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Oldebroek,8091BA,Wezep,
10839,196190,496070,3.0,"GSM, 5G NR, LTE","4294172451, 6859881457, 6468501408",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Oldebroek,8091AJ,Wezep,
10840,105939,496175,3.0,"GSM, 5G NR, LTE","9436104767, 1262048040, 2717608583",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Velsen,1981LR,Velsen,
10841,83561,455965,1.0,ZENDAMATEURS,262746287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,'s-Gravenhage,2593SC,'S-GRAVENHAGE,
10842,195283,470352,1.0,ZENDAMATEURS,266850602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Apeldoorn,7322HZ,APELDOORN,
